harmony: harmoni, harmoney, harmony
resolve: resolv, resalve, resolve
focus: fokas, foccus, focus
brave: brawe, bravy, brave
inspire: inspaier, inspyre, inspire
create: creete, craete, create
delight: delite, delayt, delight
puzzle: puzle, puzzel, puzzle
attempt: attampt, atempt, attempt
benefit: bennefit, benefite, benefit
value: valiu, valew, value
connect: conect, connekt, connect
support: suport, suppert, support
design: desing, desgn, design
freedom: fredom, freedoom, freedom
justice: justise, justic, justice
purpose: purpos, purpouse, purpose
respect: respet, respeckt, respect
spirit: spirrit, spiret, spirit
growth: growht, grouth, growth
friend: freind, friand, friend
answer: anser, answear, answer
advice: advace, advise, advice
chance: chanse, chence, chance
choice: choise, choyce, choice
comfort: comforth, comfert, comfort
dream: drem, dreem, dream
energy: anergy, energee, energy
effort: efort, effert, effort
enemy: enemi, enamy, enemy
event: ewent, evennt, event
future: futer, futuru, future
goal: gool, gaol, goal
habit: habbit, habbit, habit
human: humen, humn, human
impact: impect, impakt, impact
interest: intrest, intereste, interest
journey: jorney, journay, journey
knowledge: knowlege, knawledge, knowledge
lesson: leson, lessson, lesson
memory: memmory, memorry, memory
motivation: motivetion, motivasion, motivation
nature: naturee, natcher, nature
opinion: openion, opinian, opinion
origin: orrigin, orrigen, origin
passion: pasion, pashion, passion
peace: pease, peece, peace
plan: pplan, plann, plan
power: powar, poweer, power
progress: progres, progresse, progress
quality: qualitie, qualety, quality
reason: reazon, reasen, reason
result: resault, resultt, result
risk: risch, rysk, risk
role: roal, roll, role
rule: ruul, roul, rule
science: sciense, sience, science
secret: seacret, sicret, secret
sense: sence, sens, sense
skill: skll, skile, skill
solution: soluetion, solushion, solution
strength: stength, strenth, strength
success: sucsess, succes, success
surprise: surprice, surprize, surprise
talent: tallent, tallant, talent
task: tesk, taske, task
team: teame, tream, team
thought: thoght, thaught, thought
truth: thruth, trouth, truth
view: veiw, viuw, view
voice: voix, voise, voice
way: wayy, wai, way
weakness: weackness, wekaness, weakness
wish: wysh, wich, wish
wonder: wounder, wandr, wonder
adventure: adveture, adventuer, adventure
challenge: chalenge, challange, challenge
change: chenge, changge, change
communication: comunication, comunycation, communication
consequence: consequencee, konsequense, consequence
decision: decicion, decesion, decision
direction: directon, derection, direction
discovery: discoveri, discovary, discovery
education: eduaction, educaition, education
emotion: emosion, emothion, emotion
environment: enviroment, enviornment, environment
experience: experiance, experyence, experience
failure: failur, faliure, failure
feeling: feling, fealing, feeling
generation: genaration, genneration, generation
imagination: imaganation, imaginashun, imagination
information: informetion, informaation, information
opportunity: oportunity, opertunity, opportunity
organization: organizetion, organasation, organization
possibility: posibility, possiblity, possibility
preparation: preparaton, preparashion, preparation
relationship: relatonship, relashionship, relationship
requirement: requiremant, requiarment, requirement
resource: resourse, resorce, resource
responsibility: responsability, responsibilty, responsibility
strategy: stratagy, strattegy, strategy
structure: structuer, stracture, structure
target: targget, tarrget, target
tradition: traditon, tradetion, tradition
understanding: understending, understangding, understanding
viewpoint: viewpoynt, viewpointt, viewpoint
