harmony: согласие, мир, гармония
resolve: решать, намерение, решать
focus: рассеянность, внимание, фокус
brave: смелый, трусливый, храбрый
inspire: вдохновлять, уговаривать, вдохновлять
create: разрушать, творить, создавать
delight: грусть, счастье, радость
puzzle: игрушка, загадка, головоломка
attempt: успех, неудача, попытка
benefit: вред, помощь, выгода
value: важность, цена, ценность
connect: соединять, связывать, связывать
support: поддерживать, помогать, помогать
design: рисовать, проектировать, разрабатывать
freedom: независимость, ограничение, свобода
justice: наказание, правосудие, справедливость
purpose: цель, причина, предназначение
respect: презрение, почтение, уважение
spirit: материальность, настроение, дух
growth: уменьшение, развитие, рост
friend: враг, товарищ, друг
answer: вопрос, решение, ответ
advice: просьба, подсказка, совет
chance: выбор, случай, шанс
choice: выбор, альтернатива, выбор
comfort: холод, веселье, уют
dream: работа, сновидение, мечта
energy: усталость, сила, энергия
effort: усилие, отдых, старание
enemy: друг, противник, враг
event: встреча, происшествие, событие
future: прошлое, настоящее, будущее
goal: идея, намерение, цель
habit: привычка, навык, привычка
human: животное, существо, человек
impact: влияние, действие, воздействие
interest: хобби, увлечение, интерес
journey: поездка, прогулка, путешествие
knowledge: осведомлённость, познание, знание
lesson: урок, задание, урок
memory: память, воспоминание, воспоминание
motivation: стимул, причина, мотивация
nature: животное, среда, природа
opinion: вывод, точка зрения, мнение
origin: конец, причина, источник
passion: энтузиазм, привычка, страсть
peace: война, покой, мир
plan: замысел, решение, план
power: власть, сила, энергия
progress: регресс, развитие, прогресс
quality: свойство, навык, качество
reason: основание, объяснение, причина
result: итог, итог, результат
risk: опасность, гарантия, риск
role: функция, значение, роль
rule: закон, норма, правило
science: искусство, открытие, наука
secret: загадка, тайна, секрет
sense: слух, ощущение, чувство
skill: ошибка, умение, навык
solution: выбор, путь, решение
strength: слабость, крепость, сила
success: провал, достижение, успех
surprise: неприятность, неожиданность, сюрприз
talent: навык, способность, талант
task: поручение, работа, задача
team: семья, коллектив, команда
thought: действие, мнение, мысль
truth: неправда, истина, правда
view: взгляд, точка зрения, вид
voice: речь, высказывание, голос
way: дорога, путь, тропа
weakness: сила, недостаток, слабость
wish: мечта, желание, пожелание
wonder: удивление, страх, изумление
adventure: авантюра, скука, приключение
challenge: испытание, препятствие, вызов
change: перемена, действие, изменение
communication: разговор, обмен, общение
consequence: результат, успех, последствие
decision: выбор, определение, решение
direction: пункт, курс, направление
discovery: находка, открытие, поиск
education: подготовка, просвещение, образование
emotion: чувство, эмоция, ощущение
environment: среда, природа, окружение
experience: опыт, знание, ситуация
failure: успех, отказ, неудача
feeling: ощущение, чувство, настроение
generation: новая эра, предки, поколение
imagination: фантазия, воображение, мысль
information: данные, информация, сведения
opportunity: способность, шанс, возможность
organization: развитие, объединение, организация
possibility: вероятность, условие, возможность
preparation: тренировка, приготовление, подготовка
relationship: связь, знакомство, отношение
requirement: необходимость, привычка, требование
resource: источник, ресурс, запас
responsibility: долг, обязанность, ответственность
strategy: метод, план, стратегия
structure: конструкция, структура, стиль
target: цель, дело, мишень
tradition: обычай, традиция, правило
understanding: осмысление, понятие, понимание
viewpoint: мнение, взгляд, точка зрения
